latorigem,lonorigem,ticketdate,tickettime,usercard,busid,cardtype,sense,valor,route,val,projectid,feed_id,typecard,latdestino,londestino,feed_idstop_id,company,periodrange,tickettimerange,trafficzoneidorign,trafficzoneiddestination,totalcapacity,ticketmonth,ticketdateusercardtickettime,grididorign,grididdestination,validationorder,travelleddistance,ticketdatetime,startoperation,endoperation,stop_idorigem,stop_iddestino,tickettimehour,motive,status
-19.468607,-44.229828,2023-07-26,14:47:32,1891264634,20017,URBANO - VALE TRANSPORTE, ,4.25,004,,688,800231S47082P14:30:00,Vale Transporte,-19.459871,-44.241261,800231S47082P14:30:006350483,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Entre Pico,14:30:00,12.0,3,0.0,7,2023-07-26189126463414:47:32,200ME60184N91454,200ME60172N91464,2,,2023-07-26 14:47:32,2023-07-26 04:30:00,2023-07-27 04:29:59,6350483.0,6116065.0,14,outros motivos,
-19.459871,-44.241261,2023-07-26,16:27:02,1891264634,16208,URBANO - VALE TRANSPORTE, ,4.25,004,,688,800224S47082P15:50:00,Vale Transporte,-19.467997,-44.246372,800224S47082P15:50:006116065,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,16:00:00,3.0,12,0.0,7,2023-07-26189126463416:27:02,200ME60172N91464,200ME60184N91454,3,,2023-07-26 16:27:02,2023-07-26 04:30:00,2023-07-27 04:29:59,6116065.0,6350483.0,16,casa,
-19.45986,-44.241791,2023-07-26,06:20:36,1891320890,11146,URBANO - EMPRESARIAL, ,0.0,004,,688,920878S47082P05:20:00,Gratuito Outros,-19.45437,-44.208607,920878S47082P05:20:006116065,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Manhã,06:00:00,3.0,47,0.0,7,2023-07-26189132089006:20:36,200ME60172N91464,200ME60206N91470,2,,2023-07-26 06:20:36,2023-07-26 04:30:00,2023-07-27 04:29:59,6116065.0,,06,trabalho,
-19.460497,-44.241341,2023-07-26,18:06:04,1891320890,11142,URBANO - EMPRESARIAL, ,0.0,007,,688,775994S47082P17:50:00,Gratuito Outros,-19.4268,-44.230904,775994S47082P17:50:006116063,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Tarde,18:00:00,3.0,3,0.0,7,2023-07-26189132089018:06:04,200ME60172N91464,200ME60172N91464,4,,2023-07-26 18:06:04,2023-07-26 04:30:00,2023-07-27 04:29:59,6116063.0,6116065.0,18,casa,
-19.455526,-44.319206,2023-07-26,08:18:26,1891347098,14187,URBANO - VALE TRANSPORTE, ,4.25,012,,688,805181S47082P08:00:00,Vale Transporte,-19.467924,-44.250095,805181S47082P08:00:006115912,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Pico Manhã,08:00:00,84.0,8,0.0,7,2023-07-26189134709808:18:26,200ME60092N91472,200ME60162N91456,1,,2023-07-26 08:18:26,2023-07-26 04:30:00,2023-07-27 04:29:59,6115912.0,,08,trabalho,
-19.417336,-44.195885,2023-07-26,07:52:26,1891518154,12012,URBANO - VALE TRANSPORTE, ,4.25,015,,688,2389432S47082P07:50:00,Vale Transporte,-19.464722,-44.24818,2389432S47082P07:50:006397261,,Pico Manhã,07:30:00,92.0,1,,7,2023-07-26189151815407:52:26,200ME60222N91510,200ME60166N91460,1,,2023-07-26 07:52:26,2023-07-26 04:30:00,2023-07-27 04:29:59,6397261.0,6116517.0,07,trabalho,
-19.464722,-44.24818,2023-07-26,17:35:18,1891518154,12012,URBANO - VALE TRANSPORTE, ,4.25,015,,688,775873S47082P16:35:00,Vale Transporte,-19.417336,-44.195885,775873S47082P16:35:006116517,,Pico Tarde,17:30:00,1.0,1,,7,2023-07-26189151815417:35:18,200ME60166N91460,200ME60166N91460,2,,2023-07-26 17:35:18,2023-07-26 04:30:00,2023-07-27 04:29:59,6116517.0,6116517.0,17,casa,
-19.4646,-44.248081,2023-07-26,15:51:08,1892010266,12014,URBANO - VALE TRANSPORTE, ,4.25,007,,688,928315S47082P15:15:00,Vale Transporte,-19.40937,-44.224033,928315S47082P15:15:006116517,,Pico Tarde,15:30:00,1.0,1,,7,2023-07-26189201026615:51:08,200ME60166N91460,200ME60166N91460,2,,2023-07-26 15:51:08,2023-07-26 04:30:00,2023-07-27 04:29:59,6116517.0,6116517.0,15,casa,
-19.440685,-44.339893,2023-07-26,19:41:36,1892086202,1901,URBANO - SENIOR, ,0.0,012,,688,805177S47082P19:40:00,Gratuito Idoso,-19.464714,-44.249363,805177S47082P19:40:006116355,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Noite,19:30:00,85.0,1,0.0,7,2023-07-26189208620219:41:36,200ME60070N91490,200ME60164N91460,2,,2023-07-26 19:41:36,2023-07-26 04:30:00,2023-07-27 04:29:59,6116355.0,6116517.0,19,outros motivos,
-19.464714,-44.249363,2023-07-26,20:39:06,1892086202,16207,URBANO - SENIOR, ,0.0,007,,688,775994S47082P20:40:00,Gratuito Idoso,-19.459995,-44.241268,775994S47082P20:40:006116517,Turi - Transp. Urbano Rodoviário e Intermunicipal ,Noite,20:30:00,1.0,85,0.0,7,2023-07-26189208620220:39:06,200ME60164N91460,200ME60070N91490,3,,2023-07-26 20:39:06,2023-07-26 04:30:00,2023-07-27 04:29:59,6116517.0,6116355.0,20,casa,
